#    x        Cp  
   0.99793  0.15539
   0.99427  0.14688
   0.98784  0.12781
   0.98033  0.10432
   0.97200  0.07646
   0.96313  0.04587
   0.95398  0.01399
   0.94468 -0.01863
   0.93530 -0.05119
   0.92587 -0.08379
   0.91642 -0.11609
   0.90695 -0.14843
   0.89747 -0.18115
   0.88797 -0.21399
   0.87847 -0.24774
   0.86895 -0.28295
   0.85943 -0.32053
   0.84990 -0.36083
   0.84037 -0.40677
   0.83083 -0.46122
   0.82128 -0.53083
   0.81174 -0.64721
   0.80703 -0.78704
   0.79791 -0.62778
   0.78811 -0.58837
   0.77832 -0.56463
   0.76852 -0.55305
   0.75872 -0.54648
   0.74892 -0.54467
   0.73912 -0.54428
   0.72933 -0.54659
   0.71953 -0.54938
   0.70973 -0.55285
   0.69993 -0.55818
   0.69012 -0.56335
   0.68032 -0.56915
   0.67052 -0.57533
   0.66072 -0.58193
   0.65093 -0.58870
   0.64113 -0.59577
   0.63134 -0.60318
   0.62156 -0.61027
   0.61178 -0.61797
   0.60201 -0.62544
   0.59224 -0.63201
   0.58249 -0.63916
   0.57274 -0.64547
   0.56299 -0.65084
   0.55324 -0.65595
   0.54348 -0.66023
   0.53373 -0.66375
   0.52396 -0.66714
   0.51419 -0.67014
   0.50441 -0.67254
   0.49463 -0.67534
   0.48483 -0.67635
   0.47503 -0.67847
   0.46522 -0.68001
   0.45541 -0.68142
   0.44558 -0.68309
   0.43575 -0.68431
   0.42592 -0.68678
   0.41608 -0.68833
   0.40624 -0.68996
   0.39640 -0.69284
   0.38656 -0.69560
   0.37672 -0.69795
   0.36689 -0.70105
   0.35706 -0.70413
   0.34723 -0.70684
   0.33741 -0.71034
   0.32759 -0.71358
   0.31777 -0.71784
   0.30796 -0.72033
   0.29815 -0.72527
   0.28835 -0.72871
   0.27856 -0.73430
   0.26877 -0.73837
   0.25899 -0.74425
   0.24923 -0.75018
   0.23948 -0.75532
   0.22974 -0.76167
   0.22002 -0.76823
   0.21031 -0.77584
   0.20062 -0.78419
   0.19095 -0.79194
