#    x        Cp  
   1.01814  0.20187
   1.01435  0.18614
   1.00771  0.15763
   0.99995  0.12780
   0.99134  0.09825
   0.98220  0.06982
   0.97276  0.04395
   0.96316  0.01982
   0.95349 -0.00195
   0.94378 -0.02255
   0.93405 -0.04137
   0.92430 -0.05944
   0.91454 -0.07624
   0.90477 -0.09204
   0.89499 -0.10754
   0.88521 -0.12233
   0.87542 -0.13677
   0.86563 -0.15038
   0.85583 -0.16439
   0.84603 -0.17766
   0.83624 -0.19100
   0.82644 -0.20335
   0.81665 -0.21622
   0.80685 -0.22877
   0.79705 -0.24076
   0.78726 -0.25268
   0.77746 -0.26436
   0.76766 -0.27563
   0.75786 -0.28742
   0.74807 -0.29823
   0.73827 -0.30929
   0.72847 -0.32019
   0.71866 -0.33050
   0.70886 -0.34125
   0.69906 -0.35178
   0.68926 -0.36205
   0.67946 -0.37248
   0.66966 -0.38269
   0.65987 -0.39281
   0.65008 -0.40298
   0.64029 -0.41305
   0.63052 -0.42275
   0.62075 -0.43250
   0.61098 -0.44148
   0.60123 -0.45035
   0.59147 -0.45878
   0.58173 -0.46618
   0.57198 -0.47303
   0.56222 -0.47927
   0.55246 -0.48502
   0.54270 -0.48995
   0.53293 -0.49468
   0.52315 -0.49909
   0.51337 -0.50320
   0.50357 -0.50668
   0.49377 -0.51051
   0.48396 -0.51351
   0.47414 -0.51671
   0.46432 -0.52034
   0.45449 -0.52353
   0.44466 -0.52747
   0.43482 -0.53060
   0.42498 -0.53463
   0.41514 -0.53949
   0.40530 -0.54365
   0.39546 -0.54821
   0.38563 -0.55392
   0.37580 -0.55899
   0.36597 -0.56456
   0.35615 -0.57076
   0.34633 -0.57697
   0.33651 -0.58439
   0.32670 -0.59101
   0.31689 -0.59978
   0.30709 -0.60819
   0.29729 -0.61830
   0.28751 -0.63004
   0.27773 -0.64227
   0.26797 -0.65685
   0.25822 -0.67242
   0.24848 -0.69071
   0.23875 -0.71241
   0.22904 -0.73771
   0.21935 -0.76640
   0.20968 -0.80025
   0.20004 -0.84196
   0.19042 -1.13889
   0.18137 -1.22804
   0.17615 -1.28764
   0.17096 -1.34785
   0.16583 -1.37467
   0.16074 -1.37301
   0.15572 -1.34870
   0.15077 -1.30378
   0.14589 -1.23932
   0.14110 -1.15595
   0.13640 -1.04779
   0.13181 -0.90858
   0.12684 -0.69300
   0.11869 -0.51025
   0.11059 -0.38167
   0.10256 -0.27725
   0.09460 -0.18558
   0.08672 -0.10191
   0.07894 -0.02458
   0.07127  0.05061
   0.06373  0.12317
   0.05636  0.19629
   0.04920  0.26917
   0.04232  0.34325
   0.03581  0.41894
   0.02979  0.49547
   0.02437  0.57118
   0.01966  0.64634
   0.01565  0.71739
   0.01232  0.78511
   0.00957  0.84618
   0.00731  0.90091
   0.00544  0.94597
   0.00391  0.97984
   0.00265  0.99803
   0.00163  0.99571
   0.00080  0.96614
   0.00016  0.89842
  -0.00031  0.78359
  -0.00063  0.60286
  -0.00079  0.34755
  -0.00081  0.00226
  -0.00067 -0.39383
  -0.00041 -0.82425
  -0.00003 -1.27227
   0.00048 -1.63392
   0.00113 -1.96079
   0.00194 -2.19738
   0.00292 -2.32278
   0.00406 -2.33593
   0.00534 -2.29871
   0.00679 -2.21769
   0.00841 -2.10578
   0.01023 -1.98792
   0.01228 -1.87213
   0.01460 -1.77060
   0.01724 -1.66012
   0.02026 -1.41045
   0.02376 -1.29696
   0.02781 -1.18354
   0.03252 -1.06711
   0.03797 -0.94980
   0.04418 -0.83740
   0.05112 -0.73028
   0.05867 -0.63046
   0.06670 -0.53738
   0.07508 -0.45100
   0.08371 -0.37212
   0.09250 -0.29703
   0.10141 -0.22669
   0.11041 -0.15915
   0.11945 -0.09235
   0.12854 -0.02576
   0.13764  0.04277
   0.14677  0.11504
   0.15591  0.19162
   0.16507  0.27077
   0.17422  0.34229
   0.18338  0.38870
   0.19102  0.39367
   0.19598  0.40019
   0.20101  0.41203
   0.20766  0.42155
   0.21732  0.38787
   0.22700  0.32884
   0.23670  0.26730
   0.24641  0.21344
   0.25613  0.16763
   0.26585  0.12869
   0.27558  0.09465
   0.28531  0.06503
   0.29503  0.03754
   0.30474  0.01322
   0.31443 -0.00992
   0.32410 -0.03062
   0.33375 -0.05003
   0.34338 -0.06718
   0.35298 -0.08334
   0.36256 -0.09690
   0.37214 -0.10910
   0.38169 -0.11923
   0.39124 -0.12766
   0.40079 -0.13449
   0.41033 -0.13909
   0.41987 -0.14229
   0.42941 -0.14386
   0.43897 -0.14335
   0.44853 -0.14211
   0.45810 -0.13891
   0.46769 -0.13468
   0.47729 -0.12914
   0.48691 -0.12276
   0.49655 -0.11546
   0.50621 -0.10719
   0.51589 -0.09843
   0.52560 -0.08919
   0.53533 -0.07927
   0.54508 -0.06924
   0.55485 -0.05920
   0.56464 -0.04856
   0.57445 -0.03845
   0.58427 -0.02781
   0.59412 -0.01751
   0.60398 -0.00702
   0.61385  0.00349
   0.62374  0.01371
   0.63365  0.02397
   0.64357  0.03432
   0.65350  0.04448
   0.66345  0.05474
   0.67340  0.06481
   0.68336  0.07486
   0.69331  0.08482
   0.70325  0.09450
   0.71318  0.10430
   0.72309  0.11383
   0.73299  0.12300
   0.74286  0.13230
   0.75272  0.14109
   0.76257  0.14998
   0.77240  0.15836
   0.78221  0.16643
   0.79202  0.17415
   0.80182  0.18190
   0.81160  0.18908
   0.82138  0.19640
   0.83114  0.20329
   0.84089  0.21020
   0.85063  0.21692
   0.86034  0.22312
   0.87003  0.22928
   0.87971  0.23527
   0.88935  0.24063
   0.89898  0.24594
   0.90857  0.25056
   0.91813  0.25474
   0.92765  0.25813
   0.93713  0.26103
   0.94657  0.26287
   0.95596  0.26417
   0.96527  0.26363
   0.97447  0.26224
   0.98351  0.25840
   0.99229  0.25212
   1.00062  0.24320
   1.00824  0.23222
   1.01490  0.21885
   1.01874  0.20187
