#    x        Cp  
   0.99940  0.48167
   0.99562  0.20972
   0.98897  0.14914
   0.98121  0.10296
   0.97261  0.06855
   0.96346  0.03761
   0.95402  0.01202
   0.94442 -0.01160
   0.93475 -0.03278
   0.92504 -0.05124
   0.91531 -0.06920
   0.90556 -0.08619
   0.89580 -0.10199
   0.88603 -0.11618
   0.87625 -0.13126
   0.86647 -0.14548
   0.85668 -0.15828
   0.84689 -0.17186
   0.83709 -0.18489
   0.82730 -0.19752
   0.81750 -0.21033
   0.80770 -0.22191
   0.79791 -0.23473
   0.78811 -0.24676
   0.77832 -0.25790
   0.76852 -0.26966
   0.75872 -0.28017
   0.74892 -0.29195
   0.73912 -0.30200
   0.72933 -0.31354
   0.71953 -0.32346
   0.70973 -0.33319
   0.69993 -0.34402
   0.69012 -0.35405
   0.68032 -0.36387
   0.67052 -0.37349
   0.66072 -0.38377
   0.65093 -0.39299
   0.64113 -0.40284
   0.63134 -0.41249
   0.62156 -0.42151
   0.61178 -0.43125
   0.60201 -0.44037
   0.59224 -0.44840
   0.58249 -0.45706
   0.57274 -0.46459
   0.56299 -0.47110
   0.55324 -0.47728
   0.54348 -0.48232
   0.53373 -0.48696
   0.52396 -0.49075
   0.51419 -0.49479
   0.50441 -0.49748
   0.49463 -0.50100
   0.48483 -0.50224
   0.47503 -0.50523
   0.46522 -0.50650
   0.45541 -0.50877
   0.44558 -0.50999
   0.43575 -0.51195
   0.42592 -0.51366
   0.41608 -0.51515
   0.40624 -0.51725
   0.39640 -0.51954
   0.38656 -0.52183
   0.37672 -0.52361
   0.36689 -0.52668
   0.35706 -0.52843
   0.34723 -0.53054
   0.33741 -0.53362
   0.32759 -0.53535
   0.31777 -0.53897
   0.30796 -0.53990
   0.29815 -0.54347
   0.28835 -0.54578
   0.27856 -0.54869
   0.26877 -0.55206
   0.25899 -0.55557
   0.24923 -0.55919
   0.23948 -0.56229
   0.22974 -0.56610
   0.22002 -0.56984
   0.21031 -0.57466
   0.20062 -0.57851
   0.19095 -0.58403
   0.18130 -0.58834
   0.17168 -0.59476
   0.16209 -0.59986
   0.15253 -0.60678
   0.14301 -0.61206
   0.13352 -0.62021
   0.12409 -0.62773
   0.11470 -0.63637
   0.10539 -0.64726
   0.09617 -0.65798
   0.08706 -0.67192
   0.07809 -0.68580
   0.06932 -0.70464
   0.06082 -0.72537
   0.05271 -0.74887
   0.04512 -0.77784
   0.03821 -0.81208
   0.03210 -0.85073
   0.02683 -0.89339
   0.02235 -0.93453
   0.01857 -0.97974
   0.01537 -1.01464
   0.01266 -1.05326
   0.01035 -1.07544
   0.00837 -1.10001
   0.00666 -1.10122
   0.00519 -1.09229
   0.00393 -1.06380
   0.00286 -0.99911
   0.00197 -0.90529
   0.00124 -0.76388
   0.00069 -0.57229
   0.00030 -0.31905
   0.00008 -0.05384
   0.00000  0.20422
   0.00006  0.46007
   0.00027  0.67568
   0.00063  0.83660
   0.00117  0.94258
   0.00188  0.99176
   0.00275  0.99833
   0.00380  0.97591
   0.00503  0.93469
   0.00647  0.88213
   0.00815  0.82218
   0.01011  0.76203
   0.01238  0.69679
   0.01505  0.63520
   0.01818  0.57129
   0.02189  0.51044
   0.02627  0.45110
   0.03140  0.39456
   0.03734  0.34186
   0.04405  0.29303
   0.05144  0.25069
   0.05938  0.21264
