#    x        Cp  
   1.00000  0.30816
   0.99608  0.22123
   0.98980  0.17829
   0.98296  0.14852
   0.97549  0.12161
   0.96729  0.09826
   0.95831  0.07668
   0.94855  0.05470
   0.93815  0.03435
   0.92732  0.01408
   0.91629 -0.00612
   0.90525 -0.02553
   0.89422 -0.04579
   0.88316 -0.06587
   0.87204 -0.08700
   0.86083 -0.10802
   0.84953 -0.12964
   0.83819 -0.15037
   0.82683 -0.17188
   0.81550 -0.19327
   0.80420 -0.21497
   0.79294 -0.23726
   0.78172 -0.25933
   0.77055 -0.28229
   0.75941 -0.30522
   0.74830 -0.32771
   0.73721 -0.35034
   0.72616 -0.37279
   0.71512 -0.39471
   0.70410 -0.41728
   0.69309 -0.43881
   0.68208 -0.46194
   0.67108 -0.48354
   0.66009 -0.50627
   0.64911 -0.52884
   0.63817 -0.55337
   0.62726 -0.57737
   0.61640 -0.60176
   0.60556 -0.62586
   0.59475 -0.64890
   0.58394 -0.67154
   0.57313 -0.69321
   0.56231 -0.71582
   0.55150 -0.73820
   0.54071 -0.76235
   0.52995 -0.78711
   0.51924 -0.81106
   0.50857 -0.83576
   0.49792 -0.85972
   0.48728 -0.88296
   0.47664 -0.90539
   0.46600 -0.92856
   0.45538 -0.95146
   0.44483 -0.97807
   0.43439 -1.00564
   0.42407 -1.03401
   0.41388 -1.05894
   0.40378 -1.08050
   0.39371 -1.09372
   0.38360 -1.09872
   0.37340 -1.09964
   0.36309 -1.09889
   0.35265 -1.09866
   0.34213 -1.10143
   0.33157 -1.10792
   0.32103 -1.11576
   0.31053 -1.12376
   0.30008 -1.13102
   0.28967 -1.13775
   0.27929 -1.14384
   0.26891 -1.14877
   0.25854 -1.15409
   0.24817 -1.15924
   0.23781 -1.16483
   0.22746 -1.17115
   0.21714 -1.17710
   0.20685 -1.18461
   0.19662 -1.19211
   0.18645 -1.20198
   0.17637 -1.21338
   0.16638 -1.22440
   0.15649 -1.23563
   0.14671 -1.24881
   0.13702 -1.26177
   0.12746 -1.27610
   0.11805 -1.29094
   0.10882 -1.30585
   0.09985 -1.32232
   0.09118 -1.34294
   0.08288 -1.36607
   0.07503 -1.39067
   0.06769 -1.41854
   0.06092 -1.44771
   0.05470 -1.47681
   0.04899 -1.50352
   0.04376 -1.53457
   0.03896 -1.56537
   0.03458 -1.59469
   0.03063 -1.62368
   0.02707 -1.65560
   0.02388 -1.68721
   0.02101 -1.73914
   0.01844 -1.81169
   0.01613 -1.87259
   0.01404 -1.92829
   0.01216 -1.98052
   0.01045 -2.00641
   0.00890 -2.03355
   0.00749 -2.04565
   0.00621 -2.06682
   0.00505 -2.11418
   0.00400 -2.21444
   0.00307 -2.24015
   0.00228 -2.15075
   0.00160 -1.97827
   0.00103 -1.79327
   0.00058 -1.59323
   0.00022 -1.38279
  -0.00003 -1.16393
  -0.00019 -0.94215
  -0.00024 -0.72177
  -0.00020 -0.48425
  -0.00005 -0.25073
   0.00021 -0.01045
   0.00058  0.22118
   0.00106  0.42018
   0.00165  0.58850
   0.00236  0.72425
   0.00318  0.82844
   0.00412  0.90520
   0.00519  0.95674
   0.00638  0.98690
   0.00770  0.99924
   0.00913  0.99739
   0.01071  0.98507
   0.01243  0.96536
   0.01432  0.94023
   0.01639  0.91200
   0.01866  0.88096
   0.02117  0.84883
   0.02393  0.81679
   0.02701  0.78491
   0.03043  0.75117
   0.03425  0.71610
   0.03851  0.67979
   0.04326  0.64398
   0.04851  0.60876
   0.05429  0.57429
   0.06062  0.54047
   0.06756  0.50730
   0.07515  0.47612
   0.08337  0.44513
   0.09215  0.41527
   0.10138  0.38712
   0.11098  0.36049
   0.12088  0.33586
   0.13100  0.31310
   0.14129  0.29204
   0.15170  0.27277
   0.16220  0.25371
   0.17277  0.23616
   0.18340  0.21920
   0.19408  0.20363
   0.20481  0.18857
   0.21557  0.17452
   0.22637  0.16136
   0.23721  0.14854
   0.24806  0.13644
   0.25892  0.12431
   0.26976  0.11301
   0.28058  0.10150
   0.29139  0.09113
   0.30219  0.08150
   0.31302  0.07249
   0.32388  0.06477
   0.33477  0.05689
   0.34566  0.04954
   0.35651  0.04006
   0.36726  0.03009
   0.37786  0.02007
   0.38834  0.01217
   0.39873  0.00625
   0.40909  0.00579
   0.41951  0.00935
   0.43003  0.01444
   0.44070  0.02081
   0.45151  0.02752
   0.46241  0.03253
   0.47336  0.03744
   0.48434  0.04282
   0.49531  0.04812
   0.50629  0.05389
   0.51729  0.06077
   0.52833  0.06736
   0.53941  0.07450
   0.55054  0.08190
   0.56171  0.08947
   0.57291  0.09628
   0.58413  0.10469
   0.59539  0.11165
   0.60666  0.11996
   0.61796  0.12773
   0.62929  0.13600
   0.64064  0.14441
   0.65203  0.15279
   0.66345  0.16120
   0.67490  0.17001
   0.68637  0.17915
   0.69784  0.18787
   0.70930  0.19686
   0.72073  0.20606
   0.73211  0.21544
   0.74344  0.22429
   0.75473  0.23349
   0.76600  0.24150
   0.77723  0.25023
   0.78844  0.25915
   0.79960  0.26807
   0.81067  0.27743
   0.82164  0.28680
   0.83250  0.29603
   0.84328  0.30478
   0.85399  0.31204
   0.86467  0.31867
   0.87534  0.32461
   0.88598  0.33139
   0.89653  0.33873
   0.90691  0.34895
   0.91703  0.36057
   0.92682  0.37134
   0.93621  0.37960
   0.94516  0.38447
   0.95367  0.38486
   0.96173  0.38170
   0.96935  0.37539
   0.97657  0.36607
   0.98341  0.35493
   0.98989  0.33992
   0.99606  0.32435
   1.00000  0.30816
