#    x        Cp  
   0.99940  0.20869
   0.99562  0.19039
   0.98897  0.16074
   0.98121  0.13097
   0.97261  0.10323
   0.96346  0.07764
   0.95402  0.05506
   0.94442  0.03442
   0.93475  0.01581
   0.92504 -0.00044
   0.91531 -0.01615
   0.90556 -0.03026
   0.89580 -0.04377
   0.88603 -0.05608
   0.87625 -0.06811
   0.86647 -0.07974
   0.85668 -0.09033
   0.84689 -0.10110
   0.83709 -0.11145
   0.82730 -0.12126
   0.81750 -0.13133
   0.80770 -0.14043
   0.79791 -0.15002
   0.78811 -0.15889
   0.77832 -0.16756
   0.76852 -0.17603
   0.75872 -0.18421
   0.74892 -0.19229
   0.73912 -0.19999
   0.72933 -0.20764
   0.71953 -0.21489
   0.70973 -0.22198
   0.69993 -0.22911
   0.69012 -0.23589
   0.68032 -0.24249
   0.67052 -0.24906
   0.66072 -0.25552
   0.65093 -0.26181
   0.64113 -0.26774
   0.63134 -0.27382
   0.62156 -0.27953
   0.61178 -0.28526
   0.60201 -0.29043
   0.59224 -0.29512
   0.58249 -0.29974
   0.57274 -0.30340
   0.56299 -0.30644
   0.55324 -0.30874
   0.54348 -0.31033
   0.53373 -0.31134
   0.52396 -0.31164
   0.51419 -0.31189
   0.50441 -0.31099
   0.49463 -0.31075
   0.48483 -0.30879
   0.47503 -0.30754
   0.46522 -0.30551
   0.45541 -0.30362
   0.44558 -0.30103
   0.43575 -0.29887
   0.42592 -0.29639
   0.41608 -0.29397
   0.40624 -0.29148
   0.39640 -0.28908
   0.38656 -0.28658
   0.37672 -0.28389
   0.36689 -0.28127
   0.35706 -0.27844
   0.34723 -0.27523
   0.33741 -0.27243
   0.32759 -0.26886
   0.31777 -0.26595
   0.30796 -0.26141
   0.29815 -0.25819
   0.28835 -0.25363
   0.27856 -0.24969
   0.26877 -0.24540
   0.25899 -0.24044
   0.24923 -0.23506
   0.23948 -0.22862
   0.22974 -0.22072
   0.22002 -0.21376
   0.21031 -0.21277
   0.20062 -0.22004
   0.19095 -0.21042
   0.18130 -0.20236
   0.17168 -0.19563
