  
       XFOIL         Version 6.96
  
 Calculated polar for: 1.000.000   0.000000                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2287   0.00739   0.00245  -0.0694   0.8669   0.6295
   1.000   0.3402   0.00732   0.00241  -0.0692   0.8305   0.6451
   2.000   0.4476   0.00730   0.00236  -0.0675   0.7597   0.6614
   3.000   0.5523   0.00770   0.00260  -0.0658   0.6422   0.6799
   4.000   0.6269   0.01153   0.00413  -0.0602   0.1135   0.7006
   5.000   0.7252   0.01349   0.00588  -0.0584   0.0414   0.7251
   6.000   0.8223   0.01552   0.00810  -0.0562   0.0288   0.7536
   7.000   0.9123   0.01855   0.01136  -0.0531   0.0223   0.7868
   8.000   1.0037   0.02199   0.01521  -0.0502   0.0185   0.8294
   9.000   1.0864   0.02548   0.01940  -0.0457   0.0158   0.8981
  10.000   1.1392   0.03494   0.03024  -0.0378   0.0143   1.0003
  11.000   1.0306   0.06163   0.05905  -0.0196   0.0164   1.0003
  12.000   0.9816   0.07690   0.07473  -0.0225   0.0158   1.0003
  14.000   0.0000 NaN       NaN         0.0000   0.0225   1.0003
  15.000 NaN      NaN       NaN       NaN        0.9997   1.0003
